epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.351,0.7453978657722473,0.2299107164144516,0.0059,0.1322,0.7703,0.4904,0.4725,0.1348
1,0.0462,0.7515853643417358,0.23392857611179352,0.0067,0.1366,0.7681,0.4891,0.4671,0.1398
2,0.0546,0.7451496124267578,0.2616071403026581,0.0077,0.1439,0.7671,0.4898,0.4674,0.1472
3,0.0451,0.7423131465911865,0.2883928716182709,0.0085,0.1381,0.7644,0.4888,0.4656,0.142
4,0.0497,0.7324568033218384,0.3084821403026581,0.0094,0.148,0.7666,0.4872,0.457,0.1536
5,0.0425,0.738235592842102,0.27142858505249023,0.0101,0.1328,0.7695,0.4895,0.4696,0.1354
6,0.041,0.7395808696746826,0.2767857015132904,0.0105,0.1404,0.7675,0.4862,0.4563,0.1443
7,0.0388,0.7389993667602539,0.30044642090797424,0.0112,0.1423,0.7697,0.4885,0.4633,0.1459
8,0.041,0.7402220368385315,0.25758928060531616,0.012,0.1387,0.7635,0.4893,0.4673,0.1425
9,0.039,0.7505174875259399,0.21116071939468384,0.0127,0.1434,0.7657,0.4883,0.4624,0.1473
